Verein_nr;Spieler Name;player_nr;Datum;old_club_name;old_club_nr;old_club_country;new_club_name;new_club_nr;new_club_country;MW;Ablöse
;;342227;03.08.2021;union saint gilloise;3948;Belgium;fc stade lausanne ouchy;5499;Switzerland;400 Tsd €;ablösefrei
;;342227;28.08.2020;fc rapid bukarest;455;Romania;union saint gilloise;3948;Belgium;200 Tsd €;ablösefrei
;;342227;08.07.2019;amiens sc;1416;France;fc rapid bukarest;455;Romania;250 Tsd €;ablösefrei
;;342227;30.06.2019;fc villefranche beaujolais;18633;France;amiens sc;1416;France;250 Tsd €;Leih Ende
;;342227;25.07.2018;amiens sc;1416;France;fc villefranche beaujolais;18633;France;150 Tsd €;Leihe
;;342227;30.06.2018;us creteil lusitanos;2067;France;amiens sc;1416;France;150 Tsd €;Leih Ende
;;342227;12.01.2018;amiens sc;1416;France;us creteil lusitanos;2067;France;150 Tsd €;Leihe
;;342227;01.07.2017;as monaco u21;9668;Monaco;amiens sc;1416;France;-;ablösefrei
;;342227;01.07.2013;as monaco u19;9669;Monaco;as monaco u21;9668;Monaco;-;-
;;847262;01.07.2023;racing club abidjan;85059;Ireland;fc lausanne sport;527;Switzerland;-;?
;;583038;01.07.2021;team fc luzern sc kriens u18;14332;Switzerland;fc luzern;434;Switzerland;-;-
;;583038;01.07.2020;team fc luzern sc kriens u17;25022;Switzerland;team fc luzern sc kriens u18;14332;Switzerland;-;-
;;583038;01.07.2019;fc luzern u16;74948;Switzerland;team fc luzern sc kriens u17;25022;Switzerland;-;-
;;583038;01.07.2018;fc luzern jugend;42249;Switzerland;fc luzern u16;74948;Switzerland;-;-
;;811022;20.07.2023;fc luzern u21;5494;Switzerland;fc luzern;434;Switzerland;150 Tsd €;-
;;811022;01.07.2022;team fc luzern sc kriens u18;14332;Switzerland;fc luzern u21;5494;Switzerland;-;-
;;811022;01.07.2021;team fc luzern sc kriens u17;25022;Switzerland;team fc luzern sc kriens u18;14332;Switzerland;-;-
;;68030;01.07.2021;royal excel mouscron 2022 ;29228;Belgium;fc luzern;434;Switzerland;250 Tsd €;ablösefrei
;;68030;31.01.2019;apollon smyrnis;441;Greece;royal excel mouscron 2022 ;29228;Belgium;200 Tsd €;ablösefrei
;;68030;01.08.2018;grasshopper club zurich;504;Switzerland;apollon smyrnis;441;Greece;200 Tsd €;ablösefrei
;;68030;01.07.2014;fc schaffhausen;1277;Switzerland;grasshopper club zurich;504;Switzerland;375 Tsd €;ablösefrei
;;68030;01.07.2012;sc yf juventus zurich;2395;Switzerland;fc schaffhausen;1277;Switzerland;150 Tsd €;ablösefrei
;;68030;01.02.2012;fc winterthur;242;Switzerland;sc yf juventus zurich;2395;Switzerland;150 Tsd €;ablösefrei
;;68030;01.07.2008;grasshopper club zurich u21;5502;Switzerland;fc winterthur;242;Switzerland;-;ablösefrei
;;539798;27.01.2022;fc luzern u21;5494;Switzerland;fc luzern;434;Switzerland;-;-
;;539798;01.07.2021;team fc luzern sc kriens u18;14332;Switzerland;fc luzern u21;5494;Switzerland;-;-
;;539798;01.07.2020;team fc luzern sc kriens u17;25022;Switzerland;team fc luzern sc kriens u18;14332;Switzerland;-;-
;;539798;01.07.2019;fc luzern u16;74948;Switzerland;team fc luzern sc kriens u17;25022;Switzerland;-;-
;;539798;01.07.2018;fc luzern jugend;42249;Switzerland;fc luzern u16;74948;Switzerland;-;-
;;452560;31.08.2022;fc wil 1900;850;Switzerland;fc luzern;434;Switzerland;100 Tsd €;?
;;452560;01.07.2022;fc rapperswil jona;8463;Switzerland;fc wil 1900;850;Switzerland;100 Tsd €;?
;;452560;06.02.2020;fc wil 1900;850;Switzerland;fc rapperswil jona;8463;Switzerland;100 Tsd €;ablösefrei
;;452560;01.07.2018;fc wil 1900 ii;34200;Switzerland;fc wil 1900;850;Switzerland;-;-
;;452560;31.12.2016;fc wittenbach;34540;Switzerland;fc wil 1900 ii;34200;Switzerland;-;Leih Ende
;;452560;30.09.2016;fc wil 1900 ii;34200;Switzerland;fc wittenbach;34540;Switzerland;-;Leihe
;;392743;30.06.2024;fc luzern;434;Switzerland;djurgardens if;1044;Sweden;600 Tsd €;Leih Ende
;;392743;18.01.2024;djurgardens if;1044;Sweden;fc luzern;434;Switzerland;600 Tsd €;Leihe
;;392743;30.11.2023;if brommapojkarna;1092;Sweden;djurgardens if;1044;Sweden;800 Tsd €;Leih Ende
;;392743;31.08.2023;djurgardens if;1044;Sweden;if brommapojkarna;1092;Sweden;1,00 Mio €;Leihe
;;392743;31.03.2021;sk brann;1100;Norway;djurgardens if;1044;Sweden;700 Tsd €;125 Tsd €
;;392743;30.11.2020;mjallby aif;2719;Sweden;sk brann;1100;Norway;500 Tsd €;Leih Ende
;;392743;05.02.2020;sk brann;1100;Norway;mjallby aif;2719;Sweden;100 Tsd €;Leihe
;;392743;30.11.2019;mjallby aif;2719;Sweden;sk brann;1100;Norway;-;Leih Ende
;;392743;26.07.2019;sk brann;1100;Norway;mjallby aif;2719;Sweden;-;Leihe
;;392743;12.01.2019;mjallby aif;2719;Sweden;sk brann;1100;Norway;-;ablösefrei
;;392743;01.01.2018;fk karlskrona;57117;Sweden;mjallby aif;2719;Sweden;-;ablösefrei
;;392743;03.01.2017;oskarshamns aik;28447;Sweden;fk karlskrona;57117;Sweden;-;ablösefrei
;;392743;04.08.2015;nybro if;3607;Sweden;oskarshamns aik;28447;Sweden;-;ablösefrei
;;539797;01.07.2023;fc luzern u21;5494;Switzerland;fc luzern;434;Switzerland;200 Tsd €;-
;;539797;01.07.2020;team fc luzern sc kriens u18;14332;Switzerland;fc luzern u21;5494;Switzerland;-;-
;;539797;01.07.2019;fc luzern u16;74948;Switzerland;team fc luzern sc kriens u18;14332;Switzerland;-;-
;;539797;01.07.2018;fc luzern jugend;42249;Switzerland;fc luzern u16;74948;Switzerland;-;-
;;135344;01.07.2024;fc luzern;434;Switzerland;;515;;200 Tsd €;-
;;135344;05.01.2022;fc vaduz;163;Lichtenstein;fc luzern;434;Switzerland;250 Tsd €;?
;;135344;01.07.2019;fc rapperswil jona;8463;Switzerland;fc vaduz;163;Lichtenstein;100 Tsd €;ablösefrei
;;135344;30.06.2015;sc bruhl sg;13544;Switzerland;fc rapperswil jona;8463;Switzerland;100 Tsd €;Leih Ende
;;135344;15.07.2014;fc rapperswil jona;8463;Switzerland;sc bruhl sg;13544;Switzerland;50 Tsd €;Leihe
;;135344;29.07.2013;fc basel 1893 u21;5299;Switzerland;fc rapperswil jona;8463;Switzerland;50 Tsd €;?
;;135344;01.07.2012;grasshopper club zurich u21;5502;Switzerland;fc basel 1893 u21;5299;Switzerland;100 Tsd €;?
;;135344;30.06.2012;sc bruhl sg;13544;Switzerland;grasshopper club zurich u21;5502;Switzerland;100 Tsd €;Leih Ende
;;135344;01.07.2011;grasshopper club zurich u21;5502;Switzerland;sc bruhl sg;13544;Switzerland;50 Tsd €;Leihe
;;135344;01.08.2010;fc gossau;2148;Switzerland;grasshopper club zurich u21;5502;Switzerland;50 Tsd €;?
;;135344;01.12.2009;fc gossau jugend;15599;Switzerland;fc gossau;2148;Switzerland;-;-
;;388664;01.07.2024;fc luzern;434;Switzerland;;515;;100 Tsd €;-
;;388664;30.06.2023;ac bellinzona;2047;Switzerland;fc luzern;434;Switzerland;250 Tsd €;Leih Ende
;;388664;07.07.2022;fc luzern;434;Switzerland;ac bellinzona;2047;Switzerland;250 Tsd €;Leihe
;;388664;26.01.2022;fc wil 1900;850;Switzerland;fc luzern;434;Switzerland;250 Tsd €;?
;;388664;01.07.2020;sc bruhl sg;13544;Switzerland;fc wil 1900;850;Switzerland;25 Tsd €;ablösefrei
;;388664;15.07.2019;fc st gallen 1879 u21;9178;Switzerland;sc bruhl sg;13544;Switzerland;-;ablösefrei
;;388664;01.07.2016;fc frauenfeld;2399;Switzerland;fc st gallen 1879 u21;9178;Switzerland;-;ablösefrei
;;388664;01.07.2015;fc frauenfeld jugend;41173;Switzerland;fc frauenfeld;2399;Switzerland;-;-
;;146710;01.07.2024;fc luzern;434;Switzerland;;515;;400 Tsd €;-
;;146710;12.10.2020;ac sparta prag;197;Czech Republic;fc luzern;434;Switzerland;1,40 Mio €;ablösefrei
;;146710;01.07.2015;fc slovan liberec;697;Czech Republic;ac sparta prag;197;Czech Republic;500 Tsd €;?
;;146710;08.01.2013;ac sparta prag;197;Czech Republic;fc slovan liberec;697;Czech Republic;300 Tsd €;?
;;146710;31.12.2012;fk senica 2022 ;6163;Slovakia;ac sparta prag;197;Czech Republic;300 Tsd €;Leih Ende
;;146710;01.07.2012;ac sparta prag;197;Czech Republic;fk senica 2022 ;6163;Slovakia;300 Tsd €;Leihe
;;146710;01.01.2012;ac sparta prag b;6483;Czech Republic;ac sparta prag;197;Czech Republic;-;-
;;146710;01.07.2011;ac sparta prag u19;12795;Czech Republic;ac sparta prag b;6483;Czech Republic;-;-
;;678843;01.07.2022;fc luzern u21;5494;Switzerland;fc luzern;434;Switzerland;-;-
;;678843;01.07.2021;team fc luzern sc kriens u18;14332;Switzerland;fc luzern u21;5494;Switzerland;-;-
;;678843;01.07.2020;fc luzern u16;74948;Switzerland;team fc luzern sc kriens u18;14332;Switzerland;-;-
;;678843;01.07.2019;fc luzern jugend;42249;Switzerland;fc luzern u16;74948;Switzerland;-;-
;;583026;01.07.2021;team fc luzern sc kriens u18;14332;Switzerland;fc luzern;434;Switzerland;-;-
;;583026;01.07.2019;fc luzern u16;74948;Switzerland;team fc luzern sc kriens u18;14332;Switzerland;-;-
;;583026;01.07.2018;fc luzern jugend;42249;Switzerland;fc luzern u16;74948;Switzerland;-;-
;;290040;01.07.2023;fc vaduz;163;Lichtenstein;fc luzern;434;Switzerland;300 Tsd €;?
;;290040;01.07.2021;sc kriens;2074;Switzerland;fc vaduz;163;Lichtenstein;450 Tsd €;ablösefrei
;;290040;01.07.2019;fc luzern;434;Switzerland;sc kriens;2074;Switzerland;200 Tsd €;ablösefrei
;;290040;30.06.2019;sc kriens;2074;Switzerland;fc luzern;434;Switzerland;200 Tsd €;Leih Ende
;;290040;01.07.2018;fc luzern;434;Switzerland;sc kriens;2074;Switzerland;200 Tsd €;Leihe
;;290040;30.06.2018;fc winterthur;242;Switzerland;fc luzern;434;Switzerland;200 Tsd €;Leih Ende
;;290040;28.08.2017;fc luzern;434;Switzerland;fc winterthur;242;Switzerland;100 Tsd €;Leihe
;;290040;01.07.2016;fc luzern u21;5494;Switzerland;fc luzern;434;Switzerland;-;-
;;290040;01.07.2015;team fc luzern sc kriens u18;14332;Switzerland;fc luzern u21;5494;Switzerland;-;-
;;290040;01.07.2014;fc luzern jugend;42249;Switzerland;team fc luzern sc kriens u18;14332;Switzerland;-;-
